Episode 375, Agent: 0, Score: 0, Epsilon: 0.5695
Episode 376, Agent: 0, Score: 0, Epsilon: 0.5687
Episode 377, Agent: 0, Score: 0, Epsilon: 0.5678
Episode 378, Agent: 0, Score: 0, Epsilon: 0.5670
Episode 379, Agent: 0, Score: 0, Epsilon: 0.5661
Episode 380, Agent: 0, Score: 0, Epsilon: 0.5653
Episode 381, Agent: 0, Score: 0, Epsilon: 0.5644
Episode 382, Agent: 0, Score: 0, Epsilon: 0.5636
Episode 383, Agent: 0, Score: 0, Epsilon: 0.5627
Episode 384, Agent: 0, Score: 0, Epsilon: 0.5619
Episode 385, Agent: 0, Score: 0, Epsilon: 0.5611
Episode 386, Agent: 0, Score: 1, Epsilon: 0.5602
Episode 387, Agent: 0, Score: 0, Epsilon: 0.5594
Episode 388, Agent: 0, Score: 0, Epsilon: 0.5585
Episode 389, Agent: 0, Score: 0, Epsilon: 0.5577
Episode 390, Agent: 0, Score: 1, Epsilon: 0.5569
Episode 391, Agent: 0, Score: 0, Epsilon: 0.5560
Episode 392, Agent: 0, Score: 0, Epsilon: 0.5552
Episode 393, Agent: 0, Score: 1, Epsilon: 0.5544
Episode 394, Agent: 0, Score: 0, Epsilon: 0.5535
Episode 395, Agent: 0, Score: 0, Epsilon: 0.5527
Episode 396, Agent: 0, Score: 0, Epsilon: 0.5519
Episode 397, Agent: 0, Score: 0, Epsilon: 0.5510
Episode 398, Agent: 0, Score: 0, Epsilon: 0.5502
Episode 399, Agent: 0, Score: 0, Epsilon: 0.5494
Episode 400, Agent: 0, Score: 0, Epsilon: 0.5486
Episode 401, Agent: 0, Score: 0, Epsilon: 0.5477
Episode 402, Agent: 0, Score: 0, Epsilon: 0.5469
Episode 403, Agent: 0, Score: 0, Epsilon: 0.5461
Episode 404, Agent: 0, Score: 0, Epsilon: 0.5453
Episode 405, Agent: 0, Score: 0, Epsilon: 0.5445
Episode 406, Agent: 0, Score: 0, Epsilon: 0.5436
Episode 407, Agent: 0, Score: 0, Epsilon: 0.5428
Episode 408, Agent: 0, Score: 0, Epsilon: 0.5420
Episode 409, Agent: 0, Score: 0, Epsilon: 0.5412
Episode 410, Agent: 0, Score: 0, Epsilon: 0.5404
Episode 411, Agent: 0, Score: 0, Epsilon: 0.5396
Episode 412, Agent: 0, Score: 0, Epsilon: 0.5388
